Title,Price,Location,Date,Url,Image Url,Scraped At,Source,Search Name,Site Name
2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE (ONLY 56K) MANUAL TRANSMISSION,12400,"•••••••••••••••••••••2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE ONLY 56K MANUAL TRANSMISSION8/2556k milos gatos$12,400","•••••••••••••••••••••2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE (ONLY 56K) MANUAL TRANSMISSION8/2556k milos gatos$12,400",https://sfbay.craigslist.org/sby/cto/d/los-gatos-2008-bmw-z4-30i-roadster/7876481072.html,https://images.craigslist.org/d/7876481072/00303_iIchZhg6CcM_0CI0t2_600x450.jpg,2025-08-26T15:00:43.688Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!,33880,"••••••••••••••••••••••••1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!8/2175k misan bruno$33,880","••••••••••••••••••••••••1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!8/2175k misan bruno$33,880",https://sfbay.craigslist.org/pen/ctd/d/san-bruno-1999-bmw-z3-coupe-manual/7875461734.html,https://images.craigslist.org/d/7875461734/00808_iWLrcgMLGGL_0g80c6_600x450.jpg,2025-08-26T15:00:43.688Z,craigslist,BMW Z3,craigslist
2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION,5750,"••••••••••2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION8/15153k misanta cruz$5,750","••••••••••2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION8/15153k misanta cruz$5,750",https://sfbay.craigslist.org/scz/ctd/d/santa-cruz-2001-bmw-z3-convertible-25/7874009318.html,https://images.craigslist.org/d/7874009318/00h0h_dRJKdrXz6pa_0CI0t2_600x450.jpg,2025-08-26T15:00:43.690Z,craigslist,BMW Z3,craigslist
2005 BMW Z4 Manual,8500,"••••••••2005 BMW Z4 Manual8/12107k miWest Sacramento$8,500","••••••••2005 BMW Z4 Manual8/12107k miWest Sacramento$8,500",https://sacramento.craigslist.org/cto/d/west-sacramento-2005-bmw-z4-manual/7873188795.html,https://images.craigslist.org/d/7873188795/00o0o_d6XvcramuUE_0on0o5_600x450.jpg,2025-08-26T15:00:43.690Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 2.5L 5-Speed,3247,"•1999 BMW Z3 2.5L 5-Speed8/2135k mimilpitas$3,247","•1999 BMW Z3 2.5L 5-Speed8/2135k mimilpitas$3,247",https://sfbay.craigslist.org/sby/cto/d/milpitas-1999-bmw-z3-25l-speed/7870633459.html,https://images.craigslist.org/d/7870633459/01717_b8ylkTZCiWl_0CI0lN_600x450.jpg,2025-08-26T15:00:43.690Z,craigslist,BMW Z3,craigslist
2004 BMW Z4  Sport Pkg. Roadster CONVERTIBLE 2-D,7995,"••••••••2004 BMW Z4  Sport Pkg. Roadster CONVERTIBLE 2-D8/2082k miMain Street Auto$7,995","••••••••2004 BMW Z4  Sport Pkg. Roadster CONVERTIBLE 2-D8/2082k miMain Street Auto$7,995",https://sacramento.craigslist.org/ctd/d/vallejo-2004-bmw-z4-sport-pkg-roadster/7875272213.html,https://images.craigslist.org/d/7875272213/00909_5keAVHJ9SVQ_0jm0ew_600x450.jpg,2025-08-26T15:00:43.691Z,craigslist,BMW Z3,craigslist
2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*,8900,"••••••••••••••••••••2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*8/19136k mihalf moon bay$8,900","••••••••••••••••••••2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*8/19136k mihalf moon bay$8,900",https://sfbay.craigslist.org/pen/ctd/d/half-moon-bay-2000bmw-z328rdstr-convert/7874861191.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-26T15:00:44.447Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 2.3 2dr Convertible,8995,"••••••••••••••••••1999 BMW Z3 2.3 2dr Convertible8/15110k micampbell$8,995","••••••••••••••••••1999 BMW Z3 2.3 2dr Convertible8/15110k micampbell$8,995",https://sfbay.craigslist.org/sby/ctd/d/san-jose-1999-bmw-z3-23-2dr-convertible/7874003851.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-26T15:00:44.447Z,craigslist,BMW Z3,craigslist
2008 BMW Z4 3.0si For Sale,10900,"••••••••••••••••••••••••2008 BMW Z4 3.0si For Sale8/14121k misan rafael$10,900","••••••••••••••••••••••••2008 BMW Z4 3.0si For Sale8/14121k misan rafael$10,900",https://sfbay.craigslist.org/nby/cto/d/san-rafael-2008-bmw-z4-30si-for-sale/7873728368.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-26T15:00:44.448Z,craigslist,BMW Z3,craigslist
1998 BMW z3 6-Cyl Roadster 2D,3500,"•••••••••••••••••••1998 BMW z3 6-Cyl Roadster 2D8/1281k micupertino$3,500","•••••••••••••••••••1998 BMW z3 6-Cyl Roadster 2D8/1281k micupertino$3,500",https://sfbay.craigslist.org/sby/cto/d/cupertino-1998-bmw-z3-cyl-roadster-2d/7873026939.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-26T15:00:44.448Z,craigslist,BMW Z3,craigslist
